Respondent,Age Group,Gender,Occupation,Last Purchase Time,Upgrade Frequency,Price Range,Purchasing Platform,Smartphone Brand,Camera Quality,Battery Life,RAM Capacity,Display Size & Resolution,Processor Performance,Internal Storage,OS & Interface,5G Support,Build Quality & Design,Software Updates,Value evolution for price with time,I consider budget a primary constraint when buying a smartphone.,I am willing to pay more for premium smartphones with high-performance features.,I value brand reputation over cost.,I only consider smartphones within a fixed price range.,I actively seek discounts and offers before making a purchase.,I am willing to delay my purchase for a better model within budget.,Have you changed your smartphone brand in your last purchase?,"If yes, what was the reason for switching?",How likely are you to stay with your current brand in your next purchase?,What factors would motivate you to switch brands in the future?,Which smartphone feature do you consider most critical? Why?,What is your perception of value for money in the smartphone market today?,What improvements would you like to see in upcoming smartphone models?
1,18–24,Male,Student,Within the last 6 months,Every 2 years or less,$120 – $360,Online,Samsung,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Better features in new brand,Very likely,"If another brand offers significantly better camera features, I’d definitely consider switching.","Battery life, it dictates how long I can stay connected during work or travel.",I think mid-range phones now offer excellent value they cover almost all premium features at half the price.,Longer battery life that can comfortably last two full days.
2,18–24,Female,Working Professional,6–12 months ago,Every year or less,$360 – $600,Offline,Apple,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,No,No Change,Somewhat likely,Competitive pricing with high-end specifications is a big motivator for me.,"A good camera, as I use my phone to capture daily moments and content for social media.","The market has become competitive, so consumers are getting more for less.",More durable build phones that don’t crack easily when dropped.
3,25–34,Male,Student,1–2 years ago,Only when necessary,More than $600,Both equally,Apple,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,No,No Change,Neutral,I'd move to a different brand if the current one stops giving timely updates.,Processor performance is key because I multitask a lot and expect smooth functioning.,Flagship models feel overpriced for the marginal upgrades they offer yearly.,I’d love to see better heat management during gaming or heavy use.
4,18–24,Female,Working Professional,6–12 months ago,Every 3 years or more,$120 – $360,Online,Samsung,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Yes,Better price-value proposition,Very likely,Durability and build quality improvements in another brand could convince me.,"RAM capacity matters most to me to avoid lag, especially with multiple apps open.","Budget smartphones have improved drastically, which is great for value seekers.",Manufacturers should provide longer software update cycles.
5,25–34,Male,Student,Within the last 6 months,Every year or less,$360 – $600,Online,Apple,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Yes,Poor experience with previous brand,Somewhat unlikely,Poor after-sales service would push me to look elsewhere.,"For me, it’s the display quality; I stream a lot and need a vibrant screen.","Some brands provide better value than others—Xiaomi and Motorola, for example.","Less bloatware, especially in Android phones."
6,25–34,Male,Student,Within the last 6 months,Every 2 years or less,$120 – $360,Offline,Huawei,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,No,No Change,Somewhat likely,If a new brand consistently gets great reviews from tech experts.,"I prioritize internal storage, since I keep a lot of photos, videos, and files on my phone.","You can get powerful hardware in the mid-range, which wasn’t possible earlier.",Better camera performance in low-light conditions.
7,35–44,Female,Working Professional,1–2 years ago,Only when necessary,Less than $120,Online,Samsung,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Yes,Peer influence or reviews,Neutral,"Battery performance is crucial—if another brand offers longer life, I’m in.",Software experience is most important. A clean UI and regular updates make a huge difference.,I feel we’re paying more now for software promises than hardware.,Standardized charging ports across all devices.
8,18–24,Male,Student,More than 2 years ago,Every 3 years or more,$120 – $360,Both equally,Google,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,No,No Change,Very likely,Innovations like foldable screens or satellite connectivity might attract me.,Battery efficiency stands out what’s the point of features if the phone dies mid-day?,"There’s better price segmentation, so users can choose what fits their budget.",Foldable phones becoming more affordable and practical.
9,25–34,Male,Self-Employed,6–12 months ago,Every year or less,$120 – $360,Online,Xiaomi,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,No,No Change,Very likely,I’d switch for better design aesthetics combined with performance.,I value the OS stability and performance more than anything else.,"Apple and Samsung still charge a premium, but their ecosystem and support justify it for some.",Improved front cameras for clearer video calls.
10,35–44,Female,Student,Within the last 6 months,Every 2 years or less,$360 – $600,Offline,Oppo,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,Better features in new brand,Somewhat likely,Peer influence and word-of-mouth still play a big role in my decision.,The camera is a top priority; smartphone photography is my creative outlet.,"The value proposition depends on the user, high end users may still find flagships worth it.",Smaller phones with flagship specs for people who don’t like large screens.
